"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number"
"pavlovia","0","5562","0.0-0.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","1","81446","0.0-1.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","true","","","","","","","","","","","","","","","","","","","",""
"preload","2","82427","0.0-2.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
"browser-check","3","83423","0.0-3.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","1280","800","true","true","true","true","browser_info","1.0","24/08/2022","12:29:01","","","","","",""
"html-button-response","4","89563","0.0-4.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","instructions1","","","","6134","<h1>Part 1/3</h1><p>Welcome to our study! Before starting the face perception task, it is important for us to understand our participants characteristics, so that our conclusions are scientifically valid.</p><p>Let's start with some questions about yourself.</p>","0","","",""
"survey-text","5","98800","0.0-5.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","9234","","{""age"":""26"",""nationality"":""Malaysia"",""ethnicity"":""Asian""}","","",""
"survey-multi-choice","6","104353","0.0-6.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","5551","","{""sex"":""Male"",""education"":""University (bachelor)""}","[0,1]","",""
"survey-multi-choice","7","107494","0.0-7.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","3138","","{""sexual_orientation"":""Bisexual""}","[0]","",""
"survey-text","8","110533","0.0-8.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","3034","","{""sexual_orientation_other"":""""}","","",""
"survey-multi-choice","9","113582","0.0-9.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","3048","","{""religion"":""Buddhism""}","[0]","",""
"survey-text","10","114620","0.0-10.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","1035","","{""religion_other"":""""}","","",""
"multiple-slider","11","120676","0.0-11.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","demographics","","","","6054.099999427795","","{""religiosity"":24,""religious_activity"":10}","[0,1]","",""
"html-button-response","12","140117","0.0-12.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","instructions2","","","","19438","<h1>Part 2/3</h1><p>Thank you! We will continue with a series of questionnaires about your personality. Again, it is important that you answer truthfully. Please read the statements carefully and answer according to what describe you the best.</p>","0","","",""
"multiple-slider","13","194747","0.0-13.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","IPIP6","","","","54625.39999961853","","{""Extraversion_1"":29,""Agreeableness_2"":69,""Conscientiousness_3"":43,""Neuroticism_4"":65,""Openness_5"":43,""HonestyHumility_6_R"":35,""Extraversion_7_R"":65,""Agreeableness_8_R"":36,""Openness_9_R"":70,""Conscientiousness_10"":33,""Conscientiousness_11_R"":81,""HonestyHumility_12_R"":36,""Openness_13_R"":36,""Agreeableness_14"":66,""Neuroticism_15_R"":77,""Neuroticism_16"":66,""Neuroticism_17_R"":34,""HonestyHumility_18_R"":32,""Extraversion_19_R"":85,""Agreeableness_20_R"":21,""Openness_21_R"":37,""Conscientiousness_22_R"":75,""Extraversion_23"":73,""HonestyHumility_24_R"":72}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23]","",""
"multiple-slider","14","211829","0.0-14.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","SIAS","","","","17080.89999961853","","{""SIAS_1"":34,""SIAS_2"":77,""Attention_Check_1"":32,""SIAS_3"":33,""SIAS_4"":35,""SIAS_5"":73,""SIAS_6"":33}","[0,1,2,3,4,5,6]","",""
"multiple-slider","15","226027","0.0-15.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","SPS","","","","14196.5","","{""Social_Phobia_1"":72,""Social_Phobia_2"":36,""Social_Phobia_3"":72,""Social_Phobia_4"":35,""Social_Phobia_5"":79,""Social_Phobia_6"":32}","[0,1,2,3,4,5]","",""
"multiple-slider","16","259484","0.0-16.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","GAAIS","","","","33453.60000038147","","{""AI_Attitude_1"":70,""GAAIS_2"":28,""AI_Attitude_3"":80,""GAAIS_4"":28,""AI_Attitude_5"":78,""GAAIS_6"":38,""AI_Attitude_7"":76,""GAAIS_8"":33,""GAAIS_9"":80,""AI_Attitude_10"":29}","[0,1,2,3,4,5,6,7,8,9]","",""
"multiple-slider","17","354931","0.0-17.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","FFNI-BF","","","","95444.80000019073","","{""Acclaim_Seeking_1"":73,""Arrogance_2"":24,""Authoritativeness_3"":31,""Distrust_4"":32,""Entitlement_5"":77,""Exhibitionism_6"":83,""Exploitativeness_7"":83,""Grandiose_Fantasies_8"":33,""Indifference_9_R"":81,""Lack_of_Empathy_10"":36,""Manipulativeness_11"":72,""Need_for_Admiration_12"":72,""Reactive_Anger_13"":69,""Shame_14"":25,""Thrill_Seeking_15"":75,""Acclaim_Seeking_16"":76,""Arrogance_17"":32,""Authoritativeness_18"":79,""Distrust_19"":83,""Entitlement_20"":84,""Attention_Check_2"":100,""Exhibitionism_21"":26,""Exploitativeness_22"":88,""Grandiose_Fantasies_23"":73,""Indifference_24_R"":29,""Lack_of_Empathy_25"":85,""Manipulativeness_26"":86,""Need_for_Admiration_27"":82,""Reactive_Anger_28"":76,""Shame_29"":66,""Thrill_Seeking_30"":32}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30]","",""
"multiple-slider","18","395180","0.0-18.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","GPTS","","","","40246.39999961853","","{""Reference_1"":37,""Reference_2"":77,""Reference_3"":76,""Reference_4"":34,""Reference_5"":70,""Reference_6"":78,""Reference_7"":25,""Reference_8"":76,""Persecution_9"":36,""Persecution_10"":82,""Persecution_11"":70,""Persecution_12"":38,""Persecution_13"":81,""Persecution_14"":77,""Persecution_15"":25,""Persecution_16"":74,""Persecution_17"":24,""Persecution_18"":75}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17]","",""
"multiple-slider","19","434418","0.0-19.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","SCC","","","","39235.79999923706","","{""SCC_1R"":33,""SCC_2R"":77,""SCC_3R"":65,""SCC_4R"":35,""SCC_5R"":86,""Attention_Check_4"":0,""SCC_6"":40,""SCC_7R"":72,""SCC_8R"":38,""SCC_9R"":78,""SCC_10R"":73,""SCC_11"":23,""SCC_12R"":82,""self_rated_general_attractiveness"":76,""self_rated_physical_attractiveness"":34}","[0,1,2,3,4,5,6,7,8,9,10,11,12,13,14]","",""
"multiple-slider","20","462135","0.0-20.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","IUS","","","","27715.300000190735","","{""Prospective_Anxiety_1"":78,""Prospective_Anxiety_2"":69,""Prospective_Anxiety_3"":28,""Prospective_Anxiety_4"":71,""Prospective_Anxiety_5"":27,""Prospective_Anxiety_6"":75,""Prospective_Anxiety_7"":75,""Inhibitory_Anxiety_8"":64,""Inhibitory_Anxiety_9"":31,""Inhibitory_Anxiety_10"":67,""Inhibitory_Anxiety_11"":24,""Inhibitory_Anxiety_12"":73}","[0,1,2,3,4,5,6,7,8,9,10,11]","",""
"html-keyboard-response","21","463137","0.0-21.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","","","","","","","","","","","","part_2_loading","","","","null","<p>Please wait for the experiment to load...</p>","null","","",""
"preload","22","487249","0.0-22.0","800","1280","chrome","104.0.0","false","Windows 10","60.53","undefined_v2t7q","","","true","false","[]","[]","[]","","","","","","","","","","","","","","","",""
