"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number"
"image-keyboard-response","194","3292671","0.0-25.0-1.56","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NM-1011.jpg","null","","500","57"
"multiple-slider","195","3316814","0.0-25.0-2.56","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","24090.19999998808","","{""perceived_realness"":84,""Attractiveness"":60,""Approachability"":77,""Trustworthiness"":67,""Familiarity"":19,""Similarity"":7}","[0,1,2,3,4,5]","",""
"html-keyboard-response","196","3317395","0.0-25.0-0.57","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","569",""
"image-keyboard-response","197","3317909","0.0-25.0-1.57","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1043.jpg","null","","500","58"
"multiple-slider","198","3332675","0.0-25.0-2.57","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","14751.199999988079","","{""perceived_realness"":66,""Attractiveness"":76,""Approachability"":80,""Trustworthiness"":75,""Familiarity"":56,""Similarity"":19}","[0,1,2,3,4,5]","",""
"html-keyboard-response","199","3333344","0.0-25.0-0.58","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","659",""
"image-keyboard-response","200","3333857","0.0-25.0-1.58","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1071.jpg","null","","500","59"
"multiple-slider","201","3357190","0.0-25.0-2.58","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","23314.600000023842","","{""perceived_realness"":10,""Attractiveness"":29,""Approachability"":40,""Trustworthiness"":57,""Familiarity"":17,""Similarity"":2}","[0,1,2,3,4,5]","",""
"html-keyboard-response","202","3357803","0.0-25.0-0.59","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","603",""
"image-keyboard-response","203","3358315","0.0-25.0-1.59","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1108.jpg","null","","500","60"
"multiple-slider","204","3381600","0.0-25.0-2.59","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","23218.899999976158","","{""perceived_realness"":90,""Attractiveness"":81,""Approachability"":72,""Trustworthiness"":79,""Familiarity"":34,""Similarity"":12}","[0,1,2,3,4,5]","",""
"html-keyboard-response","205","3382363","0.0-25.0-0.60","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","747",""
"image-keyboard-response","206","3382876","0.0-25.0-1.60","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1107.jpg","null","","500","61"
"multiple-slider","207","3406818","0.0-25.0-2.60","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","questionnaire","","","","23923.19999998808","","{""perceived_realness"":59,""Attractiveness"":19,""Approachability"":60,""Trustworthiness"":73,""Familiarity"":57,""Similarity"":11}","[0,1,2,3,4,5]","",""
"html-keyboard-response","208","3407728","0.0-25.0-0.61","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","892",""
"image-keyboard-response","209","3408239","0.0-25.0-1.61","768","1366","chrome","104.0.0","false","Windows 8.1","61.49","5e9392cfccb9d308e90a9cd1_mmn3o","6306c9f2987973791013cced","6306ca514c8fb330b327dda8","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NM-1074.jpg","null","","500","62"
