"trial_type","trial_index","time_elapsed","internal_node_id","screen_height","screen_width","browser","browser_version","mobile","os","vsync_rate","participant_id","study_id","session_id","success","timeout","failed_images","failed_audio","failed_video","width","height","webaudio","fullscreen","webcam","microphone","screen","version","date","time","rt","stimulus","response","question_order","trial_duration","trial_number","block_number"
"image-keyboard-response","376","1090660","0.0-28.0-1.7","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1065.jpg","null","","500","8","2"
"multiple-slider","377","1092181","0.0-28.0-2.7","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1519.5999999642372","","{""perceived_realness"":0.13}","[0]","","",""
"html-keyboard-response","378","1092945","0.0-28.0-0.8","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","379","1093448","0.0-28.0-1.8","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1013.jpg","null","","500","9","2"
"multiple-slider","380","1095042","0.0-28.0-2.8","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1592.5","","{""perceived_realness"":0}","[0]","","",""
"html-keyboard-response","381","1095793","0.0-28.0-0.9","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","382","1096309","0.0-28.0-1.9","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NM-1092.jpg","null","","500","10","2"
"multiple-slider","383","1097542","0.0-28.0-2.9","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1231","","{""perceived_realness"":0}","[0]","","",""
"html-keyboard-response","384","1098293","0.0-28.0-0.10","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","385","1098809","0.0-28.0-1.10","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1109.jpg","null","","500","11","2"
"multiple-slider","386","1100363","0.0-28.0-2.10","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1552.1000000238419","","{""perceived_realness"":0.77}","[0]","","",""
"html-keyboard-response","387","1101122","0.0-28.0-0.11","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","388","1101626","0.0-28.0-1.11","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1066.jpg","null","","500","12","2"
"multiple-slider","389","1102870","0.0-28.0-2.11","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1241.8999999761581","","{""perceived_realness"":0.21}","[0]","","",""
"html-keyboard-response","390","1103636","0.0-28.0-0.12","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","391","1104144","0.0-28.0-1.12","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1042.jpg","null","","500","13","2"
"multiple-slider","392","1105440","0.0-28.0-2.12","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1294.300000011921","","{""perceived_realness"":0.85}","[0]","","",""
"html-keyboard-response","393","1106191","0.0-28.0-0.13","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","394","1106694","0.0-28.0-1.13","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1051.jpg","null","","500","14","2"
"multiple-slider","395","1108393","0.0-28.0-2.13","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1697.199999988079","","{""perceived_realness"":0.85}","[0]","","",""
"html-keyboard-response","396","1109152","0.0-28.0-0.14","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","397","1109660","0.0-28.0-1.14","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1076.jpg","null","","500","15","2"
"multiple-slider","398","1111539","0.0-28.0-2.14","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1877.6000000238419","","{""perceived_realness"":0.66}","[0]","","",""
"html-keyboard-response","399","1112293","0.0-28.0-0.15","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","400","1112809","0.0-28.0-1.15","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1026.jpg","null","","500","16","2"
"multiple-slider","401","1114426","0.0-28.0-2.15","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1615.199999988079","","{""perceived_realness"":0.1}","[0]","","",""
"html-keyboard-response","402","1115184","0.0-28.0-0.16","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","403","1115691","0.0-28.0-1.16","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1069.jpg","null","","500","17","2"
"multiple-slider","404","1117075","0.0-28.0-2.16","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1382.300000011921","","{""perceived_realness"":0.13}","[0]","","",""
"html-keyboard-response","405","1117841","0.0-28.0-0.17","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","406","1118344","0.0-28.0-1.17","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1034.jpg","null","","500","18","2"
"multiple-slider","407","1119583","0.0-28.0-2.17","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1237.1000000238419","","{""perceived_realness"":0.72}","[0]","","",""
"html-keyboard-response","408","1120340","0.0-28.0-0.18","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","409","1120856","0.0-28.0-1.18","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1101.jpg","null","","500","19","2"
"multiple-slider","410","1121989","0.0-28.0-2.18","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","perceived_realness","","","","1131.199999988079","","{""perceived_realness"":0.69}","[0]","","",""
"html-keyboard-response","411","1122747","0.0-28.0-0.19","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","fixation","","","","null","<div style=""font-size:60px;"">+</div>","null","","750","",""
"image-keyboard-response","412","1123253","0.0-28.0-1.19","1080","1920","chrome","104.0.0","false","Windows 10","60.02","5d7f8ffae664ab001967d9d3_7mrcg","63107c6374824dd1505b9d20","63107c7480846f7ce1066906","","","","","","","","","","","","stimuli","","","","null","stimuli/AMFD/NF-1046.jpg","null","","500","20","2"
