PhotoID,FType,Dominant_mean,Dominant_sd,Dominant_nu,Trust_mean,Trust_sd,Trust_nu,Smart_mean,Smart_sd,Smart_nu,Warm_mean,Warm_sd,Warm_nu,Attract_mean,Attract_sd,Attract_nu,Express_mean,Express_sd,Express_nu,Smile_mean,Smile_sd,Smile_nu,Amb_mean,Amb_sd,Amb_nu,Fem_mean,Fem_sd,Fem_nu,Male_count,Female_count,Gendother_count,Prop_female,Prop_male,Prop_gendother,Gender_nu,Gender_cat,RaceProt_As,RaceProt_Bl,RaceProt_Lat,RaceProt_Mid,RaceProt_Mult,RaceProt_Wh,RaceProt_As_sd,RaceProt_Bl_sd,RaceProt_Lat_sd,RaceProt_Mid_sd,RaceProt_Mult_sd,RaceProt_Wh_sd,RaceProt_As_nu,RaceProt_Bl_nu,RaceProt_Lat_nu,RaceProt_Mid_nu,RaceProt_Mult_nu,RaceProt_Wh_nu,Race_cat,Race_nu,Race_ca,Race_cb,Race_cl,Race_cmid,Race_cm,Race_cw,Race_co,Prop_As,Prop_Bl,Prop_Lat,Prop_Mid,Prop_Mult,Prop_Wh,Prop_Other
1013,0,3.58,1.75,50,3.92,1.18,50,4.72,1.51,50,2.92,1.37,50,4.6,1.18,50,3.44,0.95,50,1.64,1.87,50,2.78,1.59,50,5.18,1.01,49,0,50,0,1,0,0,50,1,6.4,1.72,2.52,2.58,3.84,3.48,0.95,1.05,1.73,1.53,1.91,1.93,50,50,50,50,50,50,1,50,43,1,1,0,5,0,0,0.86,0.02,0.02,0,0.1,0,0
1014,0,2.83,1.42,47,4.4,1.09,48,4.54,0.87,48,4.71,1.17,49,4.16,1.2,49,5.22,0.98,49,4.94,1.49,49,3.92,1.43,49,4.82,1.15,49,0,49,0,1,0,0,49,1,3.59,1.86,4.22,2.57,4.16,4.82,1.84,1.4,1.69,1.5,1.85,1.56,49,49,49,49,49,49,7,49,10,0,8,0,9,20,2,0.2,0,0.16,0,0.18,0.41,0.04
1015,0,3.57,1.47,46,4.48,1.33,46,4.89,1.25,46,4.26,1.36,46,4.63,1.25,46,4.63,1,46,3.2,2.52,46,3.57,1.63,46,5.15,1.33,46,0,46,0,1,0,0,46,1,5.26,2,3.96,2.5,4.7,3.48,1.76,1.35,2,1.55,1.55,1.63,46,46,46,46,46,46,1,46,24,0,10,0,11,0,1,0.52,0,0.22,0,0.24,0,0.02
1016,0,3.43,1.8,44,4,1.35,44,4.52,1.09,44,4.3,1.49,44,5.2,0.88,44,4.98,1,44,4.32,1.51,44,3.45,1.17,44,5.93,0.79,44,0,44,0,1,0,0,44,1,2.05,1.91,5.18,3.89,4.52,4.41,1.08,1.1,1.42,2.13,1.55,1.67,44,44,44,44,44,44,3,44,0,0,18,12,3,11,0,0,0,0.41,0.27,0.07,0.25,0
1017,0,3.8,1.8,46,4.13,1.19,46,4.15,1.13,46,3.3,1.44,46,5.04,1.19,46,3.5,1.03,46,1.74,2.09,46,3.91,1.47,46,5.33,1.27,46,0,46,0,1,0,0,46,1,4.46,2.24,4.43,2.7,5.07,4.15,1.72,1.34,1.77,1.47,1.65,1.69,46,46,46,46,46,46,3,46,7,0,18,0,12,9,0,0.15,0,0.39,0,0.26,0.2,0
1018,0,3.22,1.49,51,4.88,1.14,51,5.06,1.24,51,5.06,1.14,51,5.47,0.9,51,5.33,0.77,51,4.94,1.67,51,3.65,1.32,51,5.67,0.93,51,0,51,0,1,0,0,51,1,2.65,2.02,5.12,3.84,4.51,4.96,1.53,1.16,1.35,1.45,1.36,1.25,51,51,51,51,51,51,3,51,0,1,23,6,7,14,0,0,0.02,0.45,0.12,0.14,0.27,0
1019,0,3.15,1.43,66,4.48,1.19,66,5.09,0.91,65,4.42,0.99,66,4.14,1.05,66,4.42,0.79,66,2.77,2.26,65,3.17,1.41,66,2.48,0.9,66,66,0,0,0,1,0,66,2,6.38,1.91,2.97,2.3,3.98,2.45,0.99,1.2,1.75,1.36,1.71,1.27,66,66,66,66,66,66,1,66,59,1,2,0,4,0,0,0.89,0.02,0.03,0,0.06,0,0
1020,0,3.38,1.62,52,3.71,1.35,52,4.25,1.51,51,3.02,1.32,52,4.3,1.35,53,3.19,1.06,53,2.09,1.86,53,3.25,1.67,53,5.02,1.07,53,0,53,0,1,0,0,53,1,5.68,1.49,3.06,2.49,3.89,3.15,1.49,0.93,1.91,1.61,1.76,1.71,53,53,53,53,53,53,1,53,36,1,9,0,6,1,0,0.68,0.02,0.17,0,0.11,0.02,0
1021,0,3.86,1.77,51,3.92,1.21,51,4.76,1.05,51,3.53,1.39,51,4.8,1.13,51,4.04,0.94,51,3,2.16,51,4.12,1.31,51,5.29,0.9,51,0,51,0,1,0,0,51,1,4.2,2.65,5.2,3.43,4.63,2.92,2,1.65,1.33,1.76,1.68,1.62,51,51,51,51,51,51,3,51,15,2,22,3,9,0,0,0.29,0.04,0.43,0.06,0.18,0,0
1022,0,3.02,1.64,51,4.04,1.2,51,4.18,1.38,51,3.84,1.3,51,4.37,1.25,51,3.78,1.22,51,2.63,2.18,51,3.86,1.41,51,5.02,1.12,51,0,51,0,1,0,0,51,1,3.16,2.96,5.92,3.92,4.86,3.02,1.8,1.48,1.04,1.28,1.5,1.61,51,51,51,51,51,51,3,51,1,2,34,2,11,0,1,0.02,0.04,0.67,0.04,0.22,0,0.02
1023,0,3.82,1.52,49,4.78,1.39,49,5.08,1.13,49,4.47,1.42,49,4.94,1.16,49,4.49,0.92,49,3.22,2.56,49,2.86,1.67,49,5.63,1.05,49,0,48,1,0.98,0,0.02,49,1,1.42,6.39,2.78,1.88,4.1,2.04,0.77,0.89,1.66,1.22,1.73,1.44,48,49,49,49,49,49,2,49,0,46,0,0,2,1,0,0,0.94,0,0,0.04,0.02,0
1024,0,3.33,1.87,52,3.77,1.34,52,4.35,1.17,52,3.42,1.61,52,4.21,1.29,52,3.9,1.28,51,2.67,2.3,52,4.22,1.38,51,5.29,1.32,52,0,52,0,1,0,0,52,1,3.1,3.51,4.82,4.8,4.73,2.78,1.99,1.9,1.41,1.74,1.47,1.75,51,51,51,51,52,51,3,52,5,6,17,15,7,0,2,0.1,0.12,0.33,0.29,0.13,0,0.04
1025,0,3.63,1.81,49,4,1.41,49,4.76,1.32,49,3.67,1.48,49,4.37,1.3,49,4.51,1.16,49,3.29,2.28,49,4.24,1.71,49,5.2,1.17,49,0,49,0,1,0,0,49,1,4.44,2.42,4,2.98,4.49,5.14,1.74,1.65,1.65,1.73,1.76,1.4,48,48,48,48,49,49,5,49,12,2,3,0,19,13,0,0.24,0.04,0.06,0,0.39,0.27,0
1026,0,3.71,1.56,58,3.33,1.39,58,4.05,1.28,58,2.75,1.33,59,3.71,1.18,59,3,1.03,59,1.52,1.73,58,4.22,1.25,59,4.61,1.17,59,1,58,0,0.98,0.02,0,59,1,2.63,2.8,5.44,3.9,5.17,4.07,1.43,1.63,1.18,1.53,1.22,1.55,59,59,59,59,59,59,3,59,0,0,31,4,19,4,1,0,0,0.53,0.07,0.32,0.07,0.02
1027,0,3.85,1.54,55,3.56,1.36,55,4.11,1.23,55,3.24,1.51,55,3.64,1.5,55,3.84,1,55,2.18,2.23,55,3.67,1.66,55,2.44,1.03,55,55,0,0,0,1,0,55,2,2.67,2.18,5.91,3.67,4.24,3.02,1.83,1.36,1.24,1.69,1.99,1.74,55,55,55,55,55,55,3,55,1,1,41,6,3,3,0,0.02,0.02,0.75,0.11,0.05,0.05,0
1028,0,3.02,1.48,52,4.06,1.32,52,4.38,1.29,52,3.4,1.52,52,4.54,1.23,52,3.87,1.05,52,1.87,2.15,52,3.81,1.37,52,5.37,0.99,52,1,51,0,0.98,0.02,0,52,1,2.29,2.41,5.44,4.41,5,4.06,1.57,1.59,1.45,1.39,1.33,1.58,51,51,52,51,51,50,3,52,0,0,33,7,8,3,1,0,0,0.63,0.13,0.15,0.06,0.02
1029,0,4.36,1.65,50,2.78,1.37,50,3.72,1.4,50,2.38,1.26,50,3.38,1.47,50,3.06,1.35,50,1.84,1.78,50,2.52,1.66,50,1.98,0.94,50,49,1,0,0.02,0.98,0,50,2,1.76,1.46,2.4,2.78,2.64,6.36,1.06,0.76,1.58,1.64,1.6,0.96,50,50,50,50,50,50,7,50,0,1,0,0,0,49,0,0,0.02,0,0,0,0.98,0
1030,0,3.28,1.63,50,4.82,1.27,50,5.18,1.02,50,4.72,1.23,50,5.04,1.14,50,4.96,0.91,49,4.31,1.81,49,3.5,1.52,50,5.54,1.27,50,0,50,0,1,0,0,50,1,6.14,1.78,3.88,2.45,4.6,3.06,0.86,1.27,1.77,1.57,1.92,1.65,50,50,50,49,50,50,1,50,38,0,1,0,10,1,0,0.76,0,0.02,0,0.2,0.02,0
1031,0,3.68,1.59,47,4.19,1.31,47,4.36,1.13,47,3.74,1.42,47,4.36,1.22,47,3.55,1.08,47,2.04,2.2,47,4.11,1.25,46,5.15,1.06,47,1,46,0,0.98,0.02,0,47,1,3.77,2.6,5.64,3.7,4.66,2.6,1.73,1.62,0.87,1.52,1.65,1.51,47,47,47,47,47,47,3,47,7,0,30,1,7,2,0,0.15,0,0.64,0.02,0.15,0.04,0
1032,0,3.67,1.79,48,4.27,1.51,48,4.73,1.43,48,4.02,1.71,49,5.49,1.02,49,4.14,1.27,49,2.22,2.26,49,4.27,1.32,49,6.06,0.9,49,0,49,0,1,0,0,49,1,2.29,2.31,5.69,3.54,4.75,3.98,1.44,1.6,1.24,1.83,1.54,2.03,48,48,48,48,48,49,3,48,0,1,25,3,9,10,0,0,0.02,0.52,0.06,0.19,0.21,0
1033,0,3.37,1.55,52,3.67,0.92,52,3.6,1,52,3.52,1.21,52,3.73,1.27,52,4.1,1,52,2.87,2.18,52,3.25,1.53,52,2.6,1,52,51,1,0,0.02,0.98,0,52,2,2.77,2.13,6.31,2.98,4.27,2.63,1.77,1.47,0.88,1.66,1.79,1.56,52,52,52,52,52,52,3,52,1,1,47,1,2,0,0,0.02,0.02,0.9,0.02,0.04,0,0
1034,0,2.7,1.38,46,3.41,1.42,46,3.74,1.24,46,2.63,1.44,46,3.67,1.37,46,2.8,1.09,46,1.8,1.86,46,4.35,1.3,46,5.11,1.06,46,0,46,0,1,0,0,46,1,3.28,2.5,5.28,3.7,4.8,3.24,1.68,1.46,1.09,1.59,1.51,1.51,46,46,46,46,46,46,3,46,4,0,31,1,10,0,0,0.09,0,0.67,0.02,0.22,0,0
1035,0,4,1.6,51,3.65,1.35,51,4.39,1.2,51,3.08,1.41,51,4.25,1.43,51,3.49,1.25,51,1.9,1.99,51,4.02,1.32,51,2.33,0.99,51,51,0,0,0,1,0,51,2,5.53,2.61,4.25,2.88,4.78,2.73,1.57,1.76,1.83,1.68,1.64,1.72,51,51,51,51,51,51,1,51,28,5,7,0,11,0,0,0.55,0.1,0.14,0,0.22,0,0
1036,0,3.12,1.42,42,4.24,1.03,42,4.4,1.04,42,3.83,1.23,42,4.38,1.27,42,3.43,0.86,42,2.02,2.09,42,4.1,1.49,42,5.48,1.09,42,0,42,0,1,0,0,42,1,3.34,2.2,5.38,3.22,4.93,4.07,1.92,1.44,1.43,1.68,1.57,1.56,41,41,42,41,41,41,3,42,2,0,31,0,8,1,0,0.05,0,0.74,0,0.19,0.02,0
1037,0,2.38,1.39,45,4.36,1.33,45,4.62,1.3,45,3.82,1.39,45,4.56,1.32,45,3.98,0.89,45,2.44,2.16,45,4.09,1.53,45,5.38,0.86,45,0,45,0,1,0,0,45,1,3.59,2.7,5.32,4.4,4.3,2.66,1.85,1.55,1.62,1.79,1.72,1.52,44,43,44,45,44,44,3,45,3,0,17,16,6,0,3,0.07,0,0.38,0.36,0.13,0,0.07
1038,0,4.11,1.74,38,4.05,1.41,38,4.74,1.37,38,3.47,1.29,38,5.13,1.09,38,4.05,0.96,38,1.26,1.77,38,3.45,1.64,38,2.66,1.07,38,37,1,0,0.03,0.97,0,38,2,6.13,2.11,3.76,2.62,3.81,2.89,0.93,1.49,2.03,1.8,2.07,1.84,38,37,37,37,37,37,1,38,29,0,3,0,4,1,1,0.76,0,0.08,0,0.11,0.03,0.03
1039,0,2.84,1.45,44,4.48,1.28,44,4.52,1.25,44,4.25,1.4,44,4,1.31,44,4.34,1.08,44,3.16,2.18,44,3.32,1.31,44,5.14,1.04,43,2,41,1,0.93,0.05,0.02,44,1,2.05,1.84,3.91,3.18,3.32,5.32,1.28,1.18,1.94,1.78,1.65,1.6,44,44,44,44,44,44,7,44,0,0,10,4,5,25,0,0,0,0.23,0.09,0.11,0.57,0
1040,0,3.14,1.58,51,3.65,1.31,51,4.47,1.08,51,3.1,1.32,51,4,1.34,51,3.18,0.89,51,1.8,1.96,51,3.71,1.27,51,5.04,1.09,51,1,50,0,0.98,0.02,0,51,1,2.12,2.14,4.41,3.22,3.55,5.27,1.41,1.33,1.51,1.69,1.9,1.33,51,51,51,51,51,51,7,51,1,0,10,2,6,32,0,0.02,0,0.2,0.04,0.12,0.63,0
1041,0,2.78,1.51,45,4.29,1.5,45,4.56,1.39,45,3.27,1.48,45,4.33,1.35,45,3.31,0.92,45,1.69,1.86,45,4.38,1.37,45,4.93,1.19,45,1,44,0,0.98,0.02,0,45,1,3.93,3.27,5.42,3.64,5.69,3.27,1.71,1.45,1.03,1.55,1.08,1.71,45,45,45,45,45,45,N/A,45,5,2,18,1,18,1,0,0.11,0.04,0.4,0.02,0.4,0.02,0
1042,0,3.08,1.53,48,4.15,1.35,48,4.73,1.32,48,3.44,1.49,48,4.75,1.1,48,4.04,1.15,48,2.35,2.16,48,2.75,1.62,48,5.58,1.03,48,1,47,0,0.98,0.02,0,48,1,6.35,1.67,2.54,2.04,2.96,2.42,0.93,1.15,1.53,1.32,1.87,1.65,48,48,48,48,48,48,1,48,44,0,2,1,1,0,0,0.92,0,0.04,0.02,0.02,0,0
1043,0,3.35,1.77,48,4.21,1.11,48,4.81,1.08,48,3.29,1.29,48,4.98,1.16,48,3.33,0.95,48,1.73,1.88,48,3.04,1.37,48,5.81,0.82,48,0,48,0,1,0,0,48,1,5.96,1.65,3.35,2.31,4.19,2.92,1.22,0.96,1.92,1.43,1.84,1.71,48,48,48,48,48,48,1,48,39,0,2,0,6,1,0,0.81,0,0.04,0,0.13,0.02,0
1044,0,3.82,1.73,44,3.52,1.25,44,4.32,1.29,44,3.16,1.54,44,4.32,1.29,44,3.61,1.15,44,2.02,1.95,44,3.91,1.58,44,5.41,1.04,44,0,44,0,1,0,0,44,1,2.89,2.55,4.11,3.93,4.48,4.98,1.65,1.42,1.6,1.52,1.82,1.62,44,44,44,44,44,44,7,44,0,0,5,4,17,18,0,0,0,0.11,0.09,0.39,0.41,0
1045,0,2.85,1.37,47,4.28,1.48,47,4.55,1.16,47,4.11,1.29,47,4.89,1.22,47,4.23,0.91,47,2.32,2.29,47,3.62,1.58,47,5.74,0.82,47,1,46,0,0.98,0.02,0,47,1,5.77,2.53,4.09,2.91,4.45,2.34,1.31,1.61,1.57,1.64,1.7,1.29,47,47,47,47,47,47,1,47,37,2,4,0,3,0,1,0.79,0.04,0.09,0,0.06,0,0.02
1046,0,3.85,1.6,65,4,1.53,65,4.75,1.21,65,4.05,1.47,65,5,1.16,65,4.69,1.09,65,4,1.87,65,3.38,1.39,65,5.83,0.86,65,0,65,0,1,0,0,65,1,2.4,1.91,4.48,3.3,4.17,5.45,1.3,1.2,1.65,1.58,1.45,1.32,65,65,65,64,65,65,7,65,0,0,20,0,15,30,0,0,0,0.31,0,0.23,0.46,0
1047,0,2.7,1.44,47,3.7,1.4,47,3.85,1.2,47,3.21,1.32,47,3.74,1.29,47,3.51,1.02,47,1.68,1.66,47,3.96,1.32,47,4.66,1.09,47,1,46,0,0.98,0.02,0,47,1,5.17,2.23,4.51,3.04,4.34,2.96,1.43,1.27,1.6,1.5,1.77,1.81,47,47,47,47,47,47,1,47,24,0,14,2,7,0,0,0.51,0,0.3,0.04,0.15,0,0
1048,0,2.72,1.51,54,4.56,1.11,54,4.89,1.13,54,4.46,1.34,54,5.09,1.12,54,4.72,0.86,54,3.57,1.87,54,4,1.36,54,5.7,0.94,54,0,54,0,1,0,0,54,1,4.39,2.48,5.09,3.85,4.94,2.7,1.97,1.56,1.65,1.88,1.71,1.5,54,54,54,54,54,54,3,54,16,0,20,7,10,0,1,0.3,0,0.37,0.13,0.19,0,0.02
1049,0,3.86,1.63,57,3.98,0.94,57,4.3,1.1,57,3.68,1.21,57,4.46,1.3,57,4.07,0.98,57,2.88,2.24,57,3.88,1.5,57,5.51,1.07,57,1,56,0,0.98,0.02,0,57,1,2.86,2.81,5.84,3.74,4.68,2.82,1.44,1.54,1.26,1.6,1.53,1.34,57,57,57,57,57,57,3,57,0,0,44,6,7,0,0,0,0,0.77,0.11,0.12,0,0
1050,0,4.19,1.51,59,3.48,1.2,58,3.9,1.28,58,3.05,1.44,59,4.42,1.26,59,3.47,1.1,59,1.88,1.9,59,3.61,1.45,59,5.54,1.02,59,1,58,0,0.98,0.02,0,59,1,2.19,2.34,5.39,3.42,4.54,4.03,1.38,1.38,1.45,1.8,1.78,1.8,59,59,59,59,59,59,3,59,2,0,31,2,12,12,0,0.03,0,0.53,0.03,0.2,0.2,0
1051,0,2.67,1.24,64,4.16,1.39,64,4.31,1.26,64,4.09,1.38,64,3.91,1.27,65,4.6,1.03,65,4.12,1.45,65,3.65,1.6,65,5.22,0.91,65,0,65,0,1,0,0,65,1,3.48,1.75,3.32,2.23,4.03,5.38,2.12,1.11,1.77,1.33,1.96,1.54,65,64,65,65,65,65,7,65,14,0,5,0,17,29,0,0.22,0,0.08,0,0.26,0.45,0
1052,0,2.98,1.62,47,4.43,1.54,47,4.94,1.24,47,4.51,1.46,47,3.7,1.33,47,5.04,0.86,47,4.6,1.62,47,2.85,1.69,47,3.02,1.19,47,45,2,0,0.04,0.96,0,47,2,1.7,1.41,2.72,2.54,2.68,6.28,1.37,1,1.8,1.91,1.75,1.21,47,46,47,46,47,47,7,47,0,1,0,1,1,44,0,0,0.02,0,0.02,0.02,0.94,0
1053,0,3.76,1.58,51,3.55,1.47,51,3.98,1.12,51,3.22,1.25,51,3.45,1.55,51,3.16,0.97,51,1.92,1.7,51,3.71,1.54,51,4.98,1.17,51,0,51,0,1,0,0,51,1,2.29,2.92,5.98,3.16,4.61,3.1,1.57,1.76,0.91,1.76,1.61,1.63,51,51,51,51,51,51,3,51,1,3,36,2,7,1,1,0.02,0.06,0.71,0.04,0.14,0.02,0.02
1054,0,2.83,1.62,60,3.9,1.19,60,4.72,1.35,60,3.23,1.53,60,4.2,1.38,60,3.6,1.15,60,1.6,1.66,60,4.12,1.56,60,5.12,1.24,60,0,60,0,1,0,0,60,1,5.17,2.17,4,3.71,4.68,3.48,1.53,1.54,1.91,1.8,1.58,1.5,60,60,60,59,60,60,1,60,34,2,7,9,8,0,0,0.57,0.03,0.12,0.15,0.13,0,0
1055,0,3.37,1.71,41,3.76,1.51,41,4.46,1.55,41,3.12,1.68,41,3.8,1.45,41,3.76,1.09,41,1.98,2.36,41,3.83,1.94,41,2.32,0.82,41,41,0,0,0,1,0,41,2,4.5,1.88,4.15,3.03,4.32,4.83,1.85,1.3,1.58,1.72,2.01,1.93,40,40,40,40,41,40,5,41,11,0,3,1,13,12,1,0.27,0,0.07,0.02,0.32,0.29,0.02
1056,0,3.76,1.66,42,3.71,1.42,42,4.21,1.16,42,2.95,1.29,42,5.19,1.25,42,3.29,1.13,42,1.79,1.91,42,3.79,1.12,42,5.88,0.92,42,0,42,0,1,0,0,42,1,2.81,2.55,5.81,4.02,4.98,2.98,1.63,1.47,1.25,1.81,1.37,1.73,42,42,42,42,42,42,3,42,1,1,31,5,3,1,0,0.02,0.02,0.74,0.12,0.07,0.02,0
1057,0,2.67,1.49,51,3.8,1.3,51,3.92,1.15,51,2.82,1.41,51,4.08,1.35,51,3.35,1.2,51,2.14,2.01,51,3.73,1.5,51,5.25,1.18,51,1,50,0,0.98,0.02,0,51,1,5.84,1.82,4.2,2.82,4.12,2.8,1.3,1.24,1.8,1.62,1.64,1.74,51,51,51,50,51,51,1,51,37,0,8,0,6,0,0,0.73,0,0.16,0,0.12,0,0
1058,0,4.25,1.55,48,4.58,1.23,48,4.79,1.03,48,4.71,1.32,48,4.71,1.32,48,5.29,0.71,48,5.17,1.15,47,2.26,1.42,47,2.23,0.95,48,48,0,0,0,1,0,48,2,1.69,6.75,2.08,1.92,2.83,1.83,0.97,0.44,1.43,1.18,1.6,1.19,48,48,48,48,48,48,2,48,0,48,0,0,0,0,0,0,1,0,0,0,0,0
1059,0,3.52,1.74,48,3.4,1.38,48,3.85,1.24,48,2.56,1.4,48,3.02,1.41,48,3.1,1.1,48,1.65,1.85,48,4.27,1.59,48,4.08,1.4,48,6,42,0,0.88,0.13,0,48,1,2.29,2.46,5.42,3.27,4.67,3.52,1.47,1.54,1.27,1.73,1.59,1.65,48,48,48,48,48,48,3,48,0,2,29,6,8,1,2,0,0.04,0.6,0.13,0.17,0.02,0.04
1060,0,3.45,1.49,51,4.64,0.92,50,4.76,0.98,50,4.65,1.29,51,4.41,1.13,51,5,0.77,51,3.82,2.37,51,2.76,1.56,51,5.22,1.14,51,0,51,0,1,0,0,51,1,2.06,6.51,2.9,2.27,3.92,2.08,1.24,0.81,1.64,1.2,1.78,1.18,50,51,51,51,51,51,2,51,0,49,1,0,1,0,0,0,0.96,0.02,0,0.02,0,0
