"Stimulus","Participant","Age","Sex","Sexual_Orientation","Religion","Religion_Spirituality","Religion_Activity","Education","Nationality","Ethnicity","Date","Time","Duration_Questionnaires","Duration_Task","Screen_Resolution","Screen_Size","Screen_Refresh","Browser","Browser_Version","Device","Device_OS","Trial","RT","SimulationMonitoring","Real","Attractive","Approachable","Trustworthy","Familiar","Similar","Stimulus_Sex","Stimulus_SameSex","IPIP6_Extraversion","IPIP6_Conscientiousness","IPIP6_Neuroticism","IPIP6_Openness","IPIP6_HonestyHumility","IPIP6_Agreeableness","Social_Anxiety","Social_Phobia","AI_1_RealisticImages","AI_2_Unethical","AI_3_VideosReal","AI_4_DailyLife","AI_5_ImitatingReality","AI_6_Dangerous","AI_7_RealisticVideos","AI_8_Exciting","AI_9_Applications","AI_10_FaceErrors","FFNI_AcclaimSeeking","FFNI_Arrogance","FFNI_Authoritativeness","FFNI_Distrust","FFNI_Entitlement","FFNI_Exhibitionism","FFNI_Exploitativeness","FFNI_GrandioseFantasies","FFNI_Indifference","FFNI_LackOfEmpathy","FFNI_Manipulativeness","FFNI_NeedForAdmiration","FFNI_ReactiveAnger","FFNI_Shame","FFNI_ThrillSeeking","GPTS_Reference","GPTS_Persecution","SelfConceptClarity","SelfAttractiveness1","SelfAttractiveness2","IUS_ProspectiveAnxiety","IUS_InhibitoryAnxiety","Attention_Check1","Attention_Check2","Attention_Check3","Norms_Dominant","Norms_Trustworthy","Norms_Smart","Norms_Warm","Norms_Attractive"
"NF-1014.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",39,12613.400000006,0.14,0.569986,0.290042,0.579984,0.589982,0.240052,0.190062,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,2.83,4.4,4.54,4.71,4.16
"NF-1015.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",24,9549.29999998212,0.84,0.919916,0.709958,0.659968,0.679964,0.390022,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.57,4.48,4.89,4.26,4.63
"NF-1016.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",104,8849.40000000596,-0.78,0.110078,0.609978,0.360028,0.390022,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.43,4,4.52,4.3,5.2
"NF-1017.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",4,10739.900000006,0.72,0.859928,0.69996,0.639972,0.669966,0.579984,0.40002,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.8,4.13,4.15,3.3,5.04
"NF-1018.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",97,8336.40000000596,-0.14,0.430014,0.619976,0.609978,0.559988,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.22,4.88,5.06,5.06,5.47
"NF-1020.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",61,30151,0.16,0.579984,0.370026,0.569986,0.460008,0.380024,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.38,3.71,4.25,3.02,4.3
"NF-1021.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",106,8252.90000000596,0.4,0.69996,0.569986,0.769946,0.679964,0.25005,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.86,3.92,4.76,3.53,4.8
"NF-1022.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",18,9405.29999998212,0.64,0.819936,0.619976,0.64997,0.54999,0.120076,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.02,4.04,4.18,3.84,4.37
"NF-1023.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",107,12720.6999999881,0.24,0.619976,0.859928,0.559988,0.729954,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.82,4.78,5.08,4.47,4.94
"NF-1024.jpg","56a77f6135850f000c94a354_3dbo3",57,"Female","Heterosexual","No Religion",0,0,"Master","UK","Caucasian","29/08/2022","15:15:34",8.20790166666557,22.4988816666702,"1920x1080",2.0736,60.06,"edge-chromium","104.0.1293","Desktop","Windows 10",79,13182.7000000179,-0.2,0.40002,0.420016,0.619976,0.539992,1e-04,1e-04,"Female","Same",21.75,57.5,22.5,86,90.5,83.75,55.3333333333333,4.5,86,32,100,77,93,47,100,72,73,39,50,41,63.5,65.5,0,12.5,24.5,0,44,5.5,56.5,11.5,0,28,68.5,25.875,3.4,62.3333333333333,28,31,47.8571428571429,15.2,100,100,100,3.33,3.77,4.35,3.42,4.21
